Time,Value
2018-11-05 06:57:00PM,0.128211
2018-11-05 06:58:00PM,0.128402
2018-11-05 06:59:00PM,0.129184
2018-11-05 07:00:00PM,0.128087
2018-11-05 07:01:00PM,0.128487
2018-11-05 07:02:00PM,0.128815
2018-11-05 07:03:00PM,0.130388
2018-11-05 07:04:00PM,0.130188
2018-11-05 07:05:00PM,0.131084
2018-11-05 07:06:00PM,0.130282
2018-11-05 07:07:00PM,0.131933
2018-11-05 07:08:00PM,0.129293
2018-11-05 07:09:00PM,0.129881
2018-11-05 07:10:00PM,0.131492
2018-11-05 07:11:00PM,0.130653
2018-11-05 07:12:00PM,0.132566
2018-11-05 07:13:00PM,0.129510
2018-11-05 07:14:00PM,0.128899
2018-11-05 07:15:00PM,0.128748
2018-11-05 07:16:00PM,0.129980
2018-11-05 07:17:00PM,0.129980
2018-11-05 07:18:00PM,0.129274
2018-11-05 07:19:00PM,0.129841
2018-11-05 07:20:00PM,0.129304
2018-11-05 07:21:00PM,0.129684
2018-11-05 07:22:00PM,0.129033
2018-11-05 07:23:00PM,0.131022
2018-11-05 07:24:00PM,0.129579
2018-11-05 07:25:00PM,0.130925
2018-11-05 07:26:00PM,0.129939
2018-11-05 07:27:00PM,0.130969
2018-11-05 07:28:00PM,0.129285
2018-11-05 07:29:00PM,0.128157
2018-11-05 07:30:00PM,0.128512
2018-11-05 07:31:00PM,0.126947
2018-11-05 07:32:00PM,0.127644
2018-11-05 07:33:00PM,0.128001
2018-11-05 07:34:00PM,0.128143
2018-11-05 07:35:00PM,0.128590
2018-11-05 07:36:00PM,0.128554
2018-11-05 07:37:00PM,0.128836
2018-11-05 07:38:00PM,0.128830
2018-11-05 07:39:00PM,0.130271
2018-11-05 07:40:00PM,0.130869
2018-11-05 07:41:00PM,0.129914
2018-11-05 07:42:00PM,0.130739
2018-11-05 07:43:00PM,0.130054
2018-11-05 07:44:00PM,0.130457
2018-11-05 07:45:00PM,0.130738
2018-11-05 07:46:00PM,0.130585
2018-11-05 07:47:00PM,0.129845
2018-11-05 07:48:00PM,0.129052
2018-11-05 07:49:00PM,0.129488
2018-11-05 07:50:00PM,0.127080
2018-11-05 07:51:00PM,0.126956
2018-11-05 07:52:00PM,0.129604
2018-11-05 07:53:00PM,0.129718
2018-11-05 07:54:00PM,0.130696
2018-11-05 07:55:00PM,0.130297
2018-11-05 07:56:00PM,0.127438
2018-11-05 07:57:00PM,0.128825
2018-11-05 07:58:00PM,0.126260
2018-11-05 07:59:00PM,0.127425
2018-11-05 08:00:00PM,0.128246
2018-11-05 08:01:00PM,0.129914
2018-11-05 08:02:00PM,0.130215
2018-11-05 08:03:00PM,0.129851
2018-11-05 08:04:00PM,0.129985
2018-11-05 08:05:00PM,0.131193
2018-11-05 08:06:00PM,0.130559
2018-11-05 08:07:00PM,0.130268
2018-11-05 08:09:00PM,0.129423
2018-11-05 08:10:00PM,0.130007
2018-11-05 08:11:00PM,0.127145
2018-11-05 08:12:00PM,0.128539
2018-11-05 08:13:00PM,0.127084
2018-11-05 08:14:00PM,0.128570
2018-11-05 08:15:00PM,0.130039
2018-11-05 08:16:00PM,0.128951
2018-11-05 08:17:00PM,0.129670
2018-11-05 08:18:00PM,0.131030
2018-11-05 08:19:00PM,0.130532
2018-11-05 08:20:00PM,0.130895
2018-11-05 08:21:00PM,0.131186
2018-11-05 08:22:00PM,0.130784
2018-11-05 08:23:00PM,0.130078
2018-11-05 08:24:00PM,0.130588
2018-11-05 08:25:00PM,0.130685
2018-11-05 08:26:00PM,0.130669
2018-11-05 08:27:00PM,0.128713
2018-11-05 08:28:00PM,0.128776
2018-11-05 08:29:00PM,0.128079
2018-11-05 08:30:00PM,0.128627
2018-11-05 08:31:00PM,0.127538
2018-11-05 08:32:00PM,0.127024
2018-11-05 08:33:00PM,0.127797
2018-11-05 08:34:00PM,0.127687
2018-11-05 08:35:00PM,0.129274
2018-11-05 08:36:00PM,0.130044
2018-11-05 08:37:00PM,0.129666
2018-11-05 08:38:00PM,0.129693
2018-11-05 08:39:00PM,0.129787
2018-11-05 08:40:00PM,0.130643
2018-11-05 08:41:00PM,0.130018
2018-11-05 08:42:00PM,0.130617
2018-11-05 08:43:00PM,0.129621
2018-11-05 08:44:00PM,0.129143
2018-11-05 08:45:00PM,0.128098
2018-11-05 08:46:00PM,0.129848
2018-11-05 08:47:00PM,0.131720
2018-11-05 08:48:00PM,0.130067
2018-11-05 08:49:00PM,0.127042
2018-11-05 08:50:00PM,0.126582
2018-11-05 08:51:00PM,0.128051
2018-11-05 08:52:00PM,0.128136
2018-11-05 08:53:00PM,0.127246
2018-11-05 08:54:00PM,0.130075
2018-11-05 08:55:00PM,0.130189
2018-11-05 08:56:00PM,0.128022
2018-11-05 08:57:00PM,0.131950
2018-11-05 08:58:00PM,0.129017
2018-11-05 08:59:00PM,0.129566
2018-11-05 09:00:00PM,0.130429
2018-11-05 09:01:00PM,0.129241
2018-11-05 09:02:00PM,0.130617
2018-11-05 09:03:00PM,0.129783
2018-11-05 09:04:00PM,0.130359
2018-11-05 09:05:00PM,0.129616
2018-11-05 09:06:00PM,0.129169
2018-11-05 09:07:00PM,0.129191
2018-11-05 09:08:00PM,0.129326
2018-11-05 09:09:00PM,0.129395
2018-11-05 09:10:00PM,0.129499
2018-11-05 09:11:00PM,0.128040
2018-11-05 09:12:00PM,0.128249
2018-11-05 09:13:00PM,0.128195
2018-11-05 09:14:00PM,0.126900
2018-11-05 09:15:00PM,0.128285
2018-11-05 09:16:00PM,0.130111
2018-11-05 09:17:00PM,0.131293
2018-11-05 09:18:00PM,0.130736
2018-11-05 09:19:00PM,0.131698
2018-11-05 09:20:00PM,0.130281
2018-11-05 09:21:00PM,0.129992
2018-11-05 09:22:00PM,0.131584
2018-11-05 09:23:00PM,0.130241
2018-11-05 09:24:00PM,0.131740
2018-11-05 09:25:00PM,0.130011
