timestamp,Wine Cellar Cooler 1,Wine Cellar Cooler 2,Wine Cellar AC 1,Wine Cellar AC 2
2017-12-08T16:15:00,282.2,58.12,1.25,0.4
2017-12-08T16:30:00,14.52,622.96,2.25,2.41
2017-12-08T16:45:00,97.87,617.39,2.28,2.42
2017-12-08T17:00:00,101.82,50.76,2.23,2.18
2017-12-08T17:15:00,259.79,802.7,5.22,12.5
2017-12-08T17:30:00,101.35,50.52,59.87,109.21
2017-12-08T17:45:00,257.68,706.95,12.56,27.16
2017-12-08T18:00:00,102.41,256.44,12.59,27.43
2017-12-08T18:15:00,268.32,62.95,61.01,27.34
2017-12-08T18:30:00,19.66,51.13,60.19,27.71
2017-12-08T18:45:00,58.74,602.92,13.49,27.42
2017-12-08T19:00:00,101.58,275.74,60.1,27.19
2017-12-08T19:15:00,278.75,60.72,12.61,27.45
2017-12-08T19:30:00,102.3,66.13,12.6,108.86
2017-12-08T19:45:00,207.46,68.08,58.15,27.45
2017-12-08T20:00:00,32.33,702.96,1.07,4.49
2017-12-08T20:15:00,102.34,393.82,2.33,2.41
2017-12-08T20:30:00,270.59,59.64,2.29,2.47
2017-12-08T20:45:00,21.09,51.14,2.28,2.47
2017-12-08T21:00:00,104.25,96.42,2.35,2.5
2017-12-08T21:15:00,199.11,81.67,2.45,2.63
2017-12-08T21:30:00,26.02,729.32,2.28,2.24
2017-12-08T21:45:00,102.03,486.3,2.29,2.35
2017-12-08T22:00:00,251.21,56.54,2.31,2.49
2017-12-08T22:15:00,49.14,54.84,2.31,2.49
2017-12-08T22:30:00,90.78,85.81,2.35,2.51
2017-12-08T22:45:00,187.99,78.72,2.32,2.5
2017-12-08T23:00:00,25.49,776.78,2.29,2.34
2017-12-08T23:15:00,102.2,379.03,2.3,2.26
2017-12-08T23:30:00,273.92,61.79,2.32,2.47
2017-12-08T23:45:00,13.17,50.24,2.32,2.47
2017-12-09T00:00:00,259.52,100.67,2.34,2.48
2017-12-09T00:15:00,19.78,69.83,2.35,2.5
2017-12-09T00:30:00,42.29,907.15,2.34,2.43
2017-12-09T00:45:00,102.68,257.13,2.32,2.23
2017-12-09T01:00:00,260.8,62.72,2.3,2.41
2017-12-09T01:15:00,14.01,50.2,2.31,2.44
2017-12-09T01:30:00,99.6,606.04,2.33,2.45
2017-12-09T01:45:00,102.49,308.82,2.34,2.48
2017-12-09T02:00:00,272.21,60.78,2.32,2.46
2017-12-09T02:15:00,102.24,83.3,2.32,2.26
2017-12-09T02:30:00,205.8,88.96,2.32,2.39
2017-12-09T02:45:00,14.15,89.74,2.36,2.62
2017-12-09T03:00:00,188.61,136.34,2.36,2.61
2017-12-09T03:15:00,14.53,136.84,2.37,2.63
2017-12-09T03:30:00,194.09,136.46,2.37,2.62
2017-12-09T03:45:00,164.52,136.5,2.35,2.5
2017-12-09T04:00:00,32.16,136.67,2.34,2.39
2017-12-09T04:15:00,192.32,136.65,2.38,2.63
2017-12-09T04:30:00,182.79,136.55,2.37,2.63
2017-12-09T04:45:00,14.48,136.74,2.37,2.63
2017-12-09T05:00:00,186.32,761.74,2.36,2.62
2017-12-09T05:15:00,14.48,904.58,2.35,2.63
2017-12-09T05:30:00,34.54,892,2.31,2.38
2017-12-09T05:45:00,101.89,50.12,2.32,2.5
2017-12-09T06:00:00,101.96,50.4,2.34,2.53
2017-12-09T06:15:00,222.68,73.97,2.35,2.5
2017-12-09T06:30:00,14.25,54.26,2.33,2.5
2017-12-09T06:45:00,23.77,63.47,2.32,2.5
2017-12-09T07:00:00,176.15,898.24,2.25,2.35
2017-12-09T07:15:00,78.67,609.15,2.25,2.21
2017-12-09T07:30:00,100.97,49.29,2.26,2.48
2017-12-09T07:45:00,101.28,59.23,2.31,2.62
2017-12-09T08:00:00,201.57,66.81,2.33,2.65
2017-12-09T08:15:00,14.11,113.44,2.31,2.62
2017-12-09T08:30:00,13.92,134.55,2.31,2.62
2017-12-09T08:45:00,203.31,134.72,2.31,2.47
2017-12-09T09:00:00,13.91,134.36,2.28,2.39
2017-12-09T09:15:00,195.37,133.78,2.29,2.6
2017-12-09T09:30:00,182.36,134.45,2.32,2.61
2017-12-09T09:45:00,13.92,135.41,2.32,2.6
2017-12-09T10:00:00,189.65,135.04,2.33,2.61
2017-12-09T10:15:00,188.68,134.68,2.33,2.61
2017-12-09T10:30:00,13.96,134.82,2.28,2.36
2017-12-09T10:45:00,185.9,133.9,2.28,2.45
2017-12-09T11:00:00,186.25,388.16,2.29,2.49
2017-12-09T11:15:00,14.31,935.83,2.31,2.47
2017-12-09T11:30:00,14.31,924.65,2.32,2.48
2017-12-09T11:45:00,60.05,632.33,2.32,2.48
2017-12-09T12:00:00,101.28,50.21,2.31,2.4
2017-12-09T12:15:00,101.49,50.48,2.3,2.28
2017-12-09T12:30:00,206.24,65.19,2.3,2.52
2017-12-09T12:45:00,13.94,67.47,2.31,2.58
2017-12-09T13:00:00,187.6,426.8,2.32,2.59
2017-12-09T13:15:00,14.45,933.13,2.32,2.62
2017-12-09T13:30:00,80.2,460.91,2.32,2.62
2017-12-09T13:45:00,102.03,50.57,2.32,2.51
2017-12-09T14:00:00,267.35,73.64,2.28,2.36
2017-12-09T14:15:00,17.22,52.31,2.33,2.63
2017-12-09T14:30:00,14.9,90.44,2.48,2.8
2017-12-09T14:45:00,12.14,51.62,2,2.27
2017-12-09T15:00:00,14.26,437.26,3.32,8.59
2017-12-09T15:15:00,64.01,831.94,1.52,1.1
2017-12-09T15:30:00,102.5,50.91,1.53,0.92
2017-12-09T15:45:00,236.61,63.38,1.55,0.99
2017-12-09T16:00:00,14.12,55.5,1.58,1.17
2017-12-09T16:15:00,170.07,81.46,2.35,2.62
2017-12-09T16:30:00,42.58,202.62,2.32,2.59
2017-12-09T16:45:00,30.04,937.72,2.27,2.52
2017-12-09T17:00:00,101.14,392.83,2.14,2.21
2017-12-09T17:15:00,101.2,49.49,1.5,0.83
2017-12-09T17:30:00,208.82,63.58,1.51,1
2017-12-09T17:45:00,47.5,67.32,1.52,1.08
2017-12-09T18:00:00,207.13,78.84,1.61,1.28
2017-12-09T18:15:00,13.96,604.82,2.28,2.58
2017-12-09T18:30:00,95.5,581.57,2.35,2.66
2017-12-09T18:45:00,102.57,51.07,2.35,2.5
2017-12-09T19:00:00,207.52,63.84,2.37,2.59
2017-12-09T19:15:00,31.07,70.82,2.33,2.64
2017-12-09T19:30:00,232.45,133.87,2.32,2.64
2017-12-09T19:45:00,14.13,92.29,2.39,2.7
2017-12-09T20:00:00,38.97,935.11,2.37,2.65
2017-12-09T20:15:00,102.3,283.38,2.38,2.61
2017-12-09T20:30:00,267.79,62.53,2.31,2.39
2017-12-09T20:45:00,14.26,50.99,2.37,2.59
2017-12-09T21:00:00,14.23,76.05,2.37,2.65
2017-12-09T21:15:00,204.09,78.12,2.33,2.63
2017-12-09T21:30:00,14.61,824.97,2.34,2.63
2017-12-09T21:45:00,84.89,623.3,2.33,2.55
2017-12-09T22:00:00,101.51,50.15,2.3,2.45
2017-12-09T22:15:00,246.1,65.23,2.25,2.27
2017-12-09T22:30:00,13.85,49.43,2.28,2.5
2017-12-09T22:45:00,13.82,77.05,2.27,2.52
2017-12-09T23:00:00,192.87,87.29,2.29,2.52
2017-12-09T23:15:00,14.35,714.8,2.33,2.64
2017-12-09T23:30:00,88.05,611.93,2.36,2.66
2017-12-09T23:45:00,102.26,50.99,2.34,2.52
2017-12-10T00:00:00,224.11,64.24,2.34,2.46
2017-12-10T00:15:00,14.03,59.62,2.34,2.63
2017-12-10T00:30:00,31.15,94.73,2.34,2.64
2017-12-10T00:45:00,183.18,132.37,2.35,2.64
2017-12-10T01:00:00,14.28,136.56,2.39,2.67
2017-12-10T01:15:00,194.32,136.2,2.38,2.65
2017-12-10T01:30:00,14.28,136.25,2.35,2.43
2017-12-10T01:45:00,193.78,136.1,2.37,2.57
2017-12-10T02:00:00,183.46,133.89,2.31,2.59
2017-12-10T02:15:00,13.9,134.2,2.31,2.61
2017-12-10T02:30:00,183.34,134.05,2.32,2.6
2017-12-10T02:45:00,186.5,134.2,2.31,2.5
2017-12-10T03:00:00,14.03,134.92,2.31,2.36
2017-12-10T03:15:00,184.75,747.6,2.31,2.3
2017-12-10T03:30:00,14.37,907.5,2.32,2.52
2017-12-10T03:45:00,14.42,901.55,2.32,2.52
2017-12-10T04:00:00,83.55,377.03,2.33,2.58
2017-12-10T04:15:00,101.41,50.25,2.32,2.61
2017-12-10T04:30:00,101.39,50.26,2.33,2.62
2017-12-10T04:45:00,201.07,69.06,2.31,2.43
2017-12-10T05:00:00,13.91,65.76,2.3,2.47
2017-12-10T05:15:00,175.2,263.2,2.32,2.61
2017-12-10T05:30:00,16.6,904.87,2.31,2.61
2017-12-10T05:45:00,73.32,554.5,2.37,2.66
2017-12-10T06:00:00,101.68,50.39,2.36,2.65
2017-12-10T06:15:00,101.64,58.61,2.34,2.6
2017-12-10T06:30:00,213.04,66.39,2.28,2.38
2017-12-10T06:45:00,13.86,77.92,2.31,2.53
2017-12-10T07:00:00,155.51,56.59,2.32,2.53
2017-12-10T07:15:00,46.69,93.6,2.34,2.54
2017-12-10T07:30:00,14.1,603.35,2.31,2.52
2017-12-10T07:45:00,83.81,674.42,2.36,2.56
2017-12-10T08:00:00,101.42,50.09,2.32,2.46
2017-12-10T08:15:00,235.6,64.22,2.28,2.26
2017-12-10T08:30:00,13.91,49.89,2.32,2.47
2017-12-10T08:45:00,13.89,79.26,2.33,2.54
2017-12-10T09:00:00,204.46,78.44,2.31,2.5
2017-12-10T09:15:00,14.24,899.08,2.29,2.47
2017-12-10T09:30:00,95.08,591.25,2.29,2.49
